transaction_id,customer_id,client_canvas_hash,app_set_id,vpa_handle_hash,delivery_pincode,address_quality_score,payment_method,cart_value_inr,category_volatility,checkout_velocity_seconds,is_discount_applied,customer_order_history_count,ring_id,is_rto,is_fraud_ring
pay_71758368917,USR_842306,466cc169b8c154cf,b24d693c88ab515c,b69b4cd50c416cb0,699969,2.8,UPI,973.59,High (Apparel),218.7,0,4,,0,0
pay_227810773035,USR_962849,da5d02630d4f086f,08cdc7d5c26a06d9,,710159,4.6,COD,4911.27,Low (Groceries),88.4,1,3,,1,0
pay_866296979034,USR_738890,0105cef9f3f0a3a9,6f21b88a0e08f6a7,,253613,4.7,COD,551.96,Medium (Electronics),294.0,0,4,,1,0
pay_585120587252,USR_250786,34c93d1d18a54e0f,76b5ead811f487ef,,977468,2.8,COD,577.18,Medium (Electronics),183.2,0,3,,1,0
pay_57670662558,USR_865968,7edb95bb914b4ed1,359483704fea2a4b,,993781,3.0,COD,3411.25,High (Apparel),268.9,0,5,,0,0
pay_82896539427,USR_539023,e964ac1b1c64da95,40b1101ec5eb46af,,459056,3.4,COD,4944.98,Low (Groceries),32.7,0,5,,0,0
pay_488378361804,USR_319402,ea2219f1975e9743,4ad4a5966a4513fd,f55b164f12f3ed9f,118820,3.5,UPI,1777.84,Medium (Electronics),114.0,0,5,,1,0
pay_452956275650,USR_493338,0204f05ed43eb708,93f7762813605f44,0e23ff4f19d659e5,123978,2.4,COD,5150.45,High (Apparel),5.5,1,0,RING_025,1,1
pay_258354004178,USR_515653,43e9225a645c0f30,16225e8dd224c915,22a0616fd2b0e6d6,743021,4.7,UPI,306.07,Low (Groceries),94.9,0,2,,0,0
pay_920974921014,USR_695184,368e8f449d04318f,2d3e82c4e221169b,,674772,3.2,COD,3987.51,High (Apparel),109.7,0,5,,0,0
pay_644314910621,USR_750644,98a16a9c88e38a53,36248776201750ee,5d1035f46ccc1052,996567,2.5,UPI,3752.55,Low (Groceries),89.2,0,4,,0,0
pay_530653929487,USR_54673,9fc49ccc98c69c1f,62fd6d5dc6e7b56c,,171955,3.5,COD,313.84,Medium (Electronics),284.6,0,5,,0,0
pay_728503526589,USR_434568,24319df5c69e4f35,c744d54eae8c899c,,237246,4.2,CARD,4506.94,Medium (Electronics),38.0,0,2,,0,0
pay_655310739107,USR_36941,7074db05c72c0087,293acb06dcbd5db2,,974721,3.2,COD,2968.6,Medium (Electronics),39.2,1,3,,1,0
pay_359962985383,USR_975105,c3813f6d75ceb980,ce5feaf7087e2f35,,450729,3.7,COD,2959.47,Medium (Electronics),178.4,0,4,,0,0
pay_396805411068,USR_611449,ac38df7bc1e5d4f6,e4def2b8d2888fed,7cfd1437dc481425,684574,4.3,UPI,2212.62,Low (Groceries),267.2,0,2,,0,0
pay_475484073820,USR_921765,4d47ff2a1864c73e,0bd3b68cab85cec0,a469aa23a7231e3b,840908,4.8,UPI,3141.07,High (Apparel),158.3,0,2,,0,0
pay_246538700667,USR_381167,85c2255cd0a51338,c7ec3be606b87de6,,862685,3.3,COD,541.28,Medium (Electronics),35.5,0,3,,1,0
pay_656113241942,USR_231920,91c4832957d46bcf,c7176f19fb9f15f3,10b849cfdbf6564e,159807,3.4,UPI,286.06,Low (Groceries),106.7,0,9,,0,0
pay_168441461031,USR_257393,7fbdfa06a5f74523,66e7220c65d8945b,,846767,5.0,COD,305.25,High (Apparel),210.9,0,2,,0,0
pay_388731346467,USR_7256,4fc6b8c4295b8b9b,6c9f57269283e866,8b9e82b74e0686f5,150028,4.1,UPI,1738.65,Medium (Electronics),24.2,1,36,,0,0
pay_798186708076,USR_768021,41687bc3a1aa00af,eda51bd4fc48f556,,510173,3.1,COD,433.04,Low (Groceries),52.1,0,5,,0,0
pay_632973661058,USR_405953,b5320e589af8a419,df41c9fcbdbe1c3a,,367492,3.4,COD,4800.22,High (Apparel),66.6,1,4,,0,0
pay_7142518953,USR_396005,5128ffed1175bf13,445b0893e166da00,,818733,2.6,COD,3541.27,Medium (Electronics),101.9,0,6,,0,0
pay_842434552828,USR_318745,26ca8e35d3eea424,70b36911a9cf646c,,969768,2.5,COD,4948.27,Low (Groceries),115.6,0,5,,0,0
pay_616079955390,USR_305738,9c3c6fb5dbbe4662,d9ca72557307f46e,,164212,4.2,CARD,1726.12,High (Apparel),40.4,0,3,,0,0
pay_70037690042,USR_667225,8366f60acfe469ce,364c0fe4f32e4a27,,652346,4.4,COD,3886.44,Low (Groceries),172.2,0,5,,0,0
pay_800783391995,USR_160766,7737b2a48eb2c7b6,fe984925daf113b9,,416119,3.0,CARD,3895.26,Low (Groceries),279.8,0,8,,0,0
pay_743308984770,USR_209336,64d33c3bc6e8dd0a,3fd337aa83ce52ae,,036483,3.3,CARD,3445.47,High (Apparel),21.3,1,35,,0,0
pay_594535570060,USR_441744,1f725e2511bf063c,6ae8e7cdc0bf0967,d9d9a754cdbb6944,292892,3.1,UPI,4310.36,Medium (Electronics),56.4,0,3,,0,0
pay_493233654518,USR_552237,39f410b9fbe72864,7e838affff240a67,,356232,4.6,CARD,3893.52,High (Apparel),113.6,0,4,,0,0
pay_928213035552,USR_107505,f7f7d066cc9c6826,24c6562774745ca4,,152000,3.6,COD,2382.64,High (Apparel),229.4,0,6,,0,0
pay_689129378432,USR_181469,9011e0b65e22ca86,fb5cd3efbcd7377e,,714287,4.6,CARD,4411.04,Medium (Electronics),22.1,1,36,,0,0
pay_131364413997,USR_732133,afbba8dd5ff063e8,3e63fba6346cf0c2,,495612,4.7,COD,2140.14,Medium (Electronics),86.7,0,5,,0,0
pay_547681830273,USR_518659,36bf22cf809cf462,2a242ecbb5da2c25,128db9adcf1359f8,845441,2.7,UPI,2329.99,Medium (Electronics),56.0,0,6,,0,0
pay_70056591842,USR_306556,54184c0eeceb6ad8,c1af845ddcbcecf5,,621779,3.7,COD,2384.8,High (Apparel),135.2,0,2,,0,0
pay_961183259692,USR_695082,52b19db92f4f3b79,ce7ffbc6802d8a4e,,483445,4.1,CARD,4545.66,Medium (Electronics),24.8,1,37,,0,0
pay_746843066684,USR_591514,3d24b8fa593c018b,a8c01dd1743957dd,,748851,4.7,COD,3987.3,Low (Groceries),276.8,0,1,,1,0
pay_5184311484,USR_969689,e099fe3fa250d5ed,da4135bc40239e45,,891008,3.5,CARD,3246.59,Medium (Electronics),41.9,0,4,,0,0
pay_416902923842,USR_581419,6884cc42af01333d,5aeb2bc25eaea1dd,,363561,3.1,COD,1533.07,Medium (Electronics),229.1,0,4,,0,0
pay_804395743162,USR_3257,e953c6a06ce83da6,35b9ff7c4a1c74c0,,325122,3.1,COD,3259.48,Low (Groceries),56.6,1,2,,0,0
pay_233829298647,USR_29074,728dc24079a35758,ee6a0151dccf582f,,794340,3.5,COD,542.98,High (Apparel),214.5,1,4,,0,0
pay_647855995140,USR_176604,cf94655f56ecbc5d,e3f29e51c8820590,,187400,3.6,COD,3912.12,Medium (Electronics),78.9,0,1,,0,0
pay_491947652211,USR_695013,a4f994964e7a9c0b,25900480af4e1f9f,cebd757870cceaff,798431,4.0,UPI,369.02,Low (Groceries),93.7,0,3,,0,0
pay_977815648994,USR_846589,e56479f309a6150b,29cca9a201774775,ba159f9dc17faa8d,099935,3.0,UPI,2843.97,Low (Groceries),160.1,0,2,,0,0
pay_710720976961,USR_871861,496d92ccf651aeba,ca82af44d19afb78,,624872,3.3,COD,1221.02,Medium (Electronics),213.3,0,2,,0,0
pay_355277191442,USR_906847,10f51503eb8cb577,69d90dd406d269a2,,581956,3.0,COD,4922.86,Low (Groceries),36.0,0,4,,0,0
pay_842585647923,USR_969696,97eaa82cf11d441d,3af8d249cf28bd1a,,507532,4.7,COD,4639.21,High (Apparel),68.4,0,3,,0,0
pay_762017786076,USR_352444,f08a47b336d49d4e,98fe95fda0dc378f,,179607,3.1,CARD,1960.45,High (Apparel),17.5,1,38,,0,0
pay_439663494206,USR_665444,63275f302cfa1bec,b71e1752643ce6b8,,473719,3.8,CARD,2139.99,Medium (Electronics),182.9,1,1,,0,0
pay_501042415156,USR_832659,32fff392b4c6c7c1,7576311536c8f5b1,af6f64421df4ed0e,928963,4.2,UPI,2853.35,High (Apparel),271.0,0,5,,0,0
pay_512553397857,USR_484287,6d287a4d6e86bfbe,7b8322d3ba612f9b,86ac9741fac7688a,364930,3.4,UPI,2136.82,High (Apparel),91.1,0,2,,0,0
pay_98418693018,USR_693147,21f1df009d3eb9d7,ab5ccf2ba61e0b70,339203220888dd1f,676469,4.8,UPI,2334.88,Low (Groceries),35.4,0,4,,0,0
pay_282058279959,USR_435762,6d46eaf3971c173d,c8913afcd990674b,8d38fac6ad717255,121031,3.4,UPI,4891.47,Medium (Electronics),145.7,0,4,,0,0
pay_210171052449,USR_179175,943e5266d82ce77c,c7c5cc181606e6df,cd0dfee26a404440,997939,3.9,UPI,1822.54,Medium (Electronics),125.7,0,6,,0,0
pay_643261027054,USR_67977,e3d78b120edce9a4,f9840bccdecf72ac,9c9147110dcfcf25,184063,2.9,UPI,560.14,Medium (Electronics),215.3,0,5,,0,0
pay_913888424771,USR_888906,b0879d251a32250d,93c45d4db4c4a4db,,174518,4.5,COD,4553.9,Medium (Electronics),37.2,0,3,,1,0
pay_989269074279,USR_477328,736ed4b6ca283b0f,ae91101017956b27,,412095,3.6,COD,1228.64,Medium (Electronics),39.2,0,2,,0,0
pay_696701182213,USR_841785,0f2f0a7ee6d6b0c1,653c946fdc6f4e5d,,833150,4.7,COD,3916.6,High (Apparel),221.5,0,5,,0,0
pay_37752223441,USR_243303,c86f0eaa615203b5,e846ca1992cc03f0,,700378,3.9,COD,4022.38,Low (Groceries),95.6,1,7,,0,0
pay_659689933328,USR_234370,b5ac060ca2505b0d,e4b5febd28734b02,,488514,4.6,COD,1518.84,High (Apparel),253.8,0,3,,0,0
pay_464545809780,USR_974411,f17475a3fdbca032,f8579965b289e5de,,563147,4.9,COD,422.41,High (Apparel),156.1,0,5,,0,0
pay_947895043143,USR_518199,123bce5ea83c2565,f422ee2cc7550878,,745539,3.1,COD,3063.92,Medium (Electronics),73.3,0,3,,0,0
pay_890251574904,USR_530127,be29fa874d01c57e,824d16cd64146ef7,757dc462292837a8,725967,2.8,UPI,3661.45,High (Apparel),293.4,0,1,,0,0
pay_953374204494,USR_778342,e95e68f96f867da8,6e1d47701db48f58,,246968,4.9,COD,869.02,Medium (Electronics),290.7,0,7,,1,0
pay_508099671121,USR_405658,6000038c550e89e4,d6035ff4cabab21e,,391596,4.8,COD,3810.11,Medium (Electronics),91.9,1,6,,0,0
pay_896801053139,USR_940138,ef98228f0fe8680d,a7c595293e112228,5d8cd4601b0ff24d,589275,4.5,UPI,3924.87,High (Apparel),230.2,0,6,,0,0
pay_991467774601,USR_730681,78c88df4fba0ed09,05c4a125dbf98a1b,,926595,3.6,CARD,4756.29,High (Apparel),56.4,0,2,,0,0
pay_528022296956,USR_160217,da79a9072c7e411a,d17a7b7bd75ec06e,aea55bd63b37823e,490869,3.2,UPI,2560.44,High (Apparel),9.3,1,34,,0,0
pay_18573055018,USR_639509,5e1fbb364d7dcdcb,02119d54c946e32c,,034918,2.9,CARD,3650.31,High (Apparel),255.4,0,4,,0,0
pay_190372886256,USR_327406,044865fe3ce0cf7d,8481dba15563cbf0,,726821,4.6,COD,3811.93,Low (Groceries),202.7,1,3,,0,0
pay_758080429158,USR_30987,fb3b7c5535329aac,564c9ced2d6dc0b4,,997430,2.8,CARD,1387.4,Medium (Electronics),49.5,0,3,,0,0
pay_978648742953,USR_168010,c75a865a62488b2b,87775e2f52a5c4a8,399c35098c77e46d,776561,3.3,UPI,4483.85,Low (Groceries),97.0,0,5,,0,0
pay_830881632097,USR_770046,a8f45f88aa4fc92b,c9010e9ba6dbf4ab,,686804,3.3,CARD,3920.66,Low (Groceries),176.2,1,0,,0,0
pay_699449372103,USR_592963,f485eac7ebb69a51,4f00800f5ef2e5ac,,963553,3.6,COD,1930.71,High (Apparel),184.2,0,5,,0,0
pay_634726395170,USR_348938,93da87932a10fb7c,ae8a316c66a89c60,fdbf50c964ecfa65,973768,5.0,UPI,1718.24,Medium (Electronics),13.5,1,36,,0,0
pay_440615847120,USR_549414,447ddbb2e4f49496,6737afee59e3ea6f,,181883,4.6,COD,971.65,Low (Groceries),167.0,1,1,,0,0
pay_529836330782,USR_684220,bfb33579f84c872c,09be907675fca71d,,814200,3.9,COD,3843.34,High (Apparel),205.1,0,3,,0,0
pay_655174507431,USR_442314,950cc40f499faf4d,80d7f1e5aa7fc64f,c87f3cba9225da3f,644161,4.3,UPI,2933.56,High (Apparel),222.3,0,5,,0,0
pay_976942597858,USR_372321,c7f180c2b1df2b29,ab2ea77cc5aef541,8b99ade354ba5fe4,381937,4.3,UPI,4897.7,High (Apparel),148.3,1,9,,0,0
pay_488293821738,USR_368623,01525b3be19a7b5c,eb1877ae5c54731a,,401658,4.2,COD,3582.47,High (Apparel),291.9,0,4,,0,0
pay_366178000522,USR_841677,6a6151e66b0d561b,f23854e92073b4d3,,735737,4.3,COD,442.77,High (Apparel),108.5,1,3,,0,0
pay_397495009072,USR_99048,42266dd61068e7c6,d095b317e7a4b356,,275458,3.0,COD,4141.2,Medium (Electronics),217.6,0,3,,0,0
pay_47349546511,USR_256736,df46ed408fb0587e,944adc43d0713fd5,5a267d2dfeecefb7,320163,3.8,UPI,694.99,Medium (Electronics),253.1,1,2,,0,0
pay_665906702920,USR_13663,45c6c70be3a8effc,00f1907c188c13fd,851e25c3e2b3ecd5,483776,3.8,UPI,1420.51,High (Apparel),103.1,0,3,,0,0
pay_997370515194,USR_558156,3ddadcff73866a7f,d26bbd14712b7d38,,580289,4.7,COD,3862.86,Medium (Electronics),290.3,1,2,,1,0
pay_255142817822,USR_992954,39ab1c4fc7d0dcbf,805632f297b00443,59cf66f31109316c,879426,3.3,UPI,3504.64,Medium (Electronics),208.8,0,1,,0,0
pay_534772562605,USR_404848,69497f90aca06eeb,66943baf0f3228b5,a38585fe5773e5ef,758891,2.5,UPI,502.48,Low (Groceries),115.9,0,3,,0,0
pay_54566219161,USR_412586,8a24fbde18ffef04,5946c6593b496bba,4e00f096749c5f84,090855,3.6,UPI,549.6,High (Apparel),283.4,1,4,,0,0
pay_10838757542,USR_198302,ebae4aa8e6aa8534,f5ca8ebd3c9058e7,0b1972cb6b6229c5,439504,3.6,UPI,1733.25,Medium (Electronics),246.8,0,0,,0,0
pay_962895777279,USR_389041,14ec6cd1cfec6600,88048ad63fae1a8d,9fb45dfd0378b4c3,131723,3.3,UPI,1758.38,High (Apparel),107.3,0,1,,0,0
pay_330658098004,USR_487191,bcc86d92173b83f7,22cca692cb97406b,,617473,5.0,COD,253.86,Medium (Electronics),35.7,0,5,,0,0
pay_41626306469,USR_940697,3918010aca93ed7c,7d41cb34765f0dc0,005fa6fa74c27b7a,207500,3.5,UPI,365.96,Medium (Electronics),78.5,1,5,,0,0
pay_416121582775,USR_376527,5ed0788ab5d4c5ea,832364510fdf6aa4,,341743,5.0,COD,930.24,Medium (Electronics),188.7,0,5,,0,0
pay_740931335887,USR_601829,8179ec7125d0929c,489d6d97c54eaa9c,cda31852dd559f91,281940,2.9,UPI,1448.22,High (Apparel),84.0,0,3,,1,0
pay_45646448280,USR_190510,811b28969580455a,147afaf3a5545103,dbf5b751a5f7bb27,248351,3.8,UPI,3761.03,Low (Groceries),173.9,1,5,,0,0
pay_723616317323,USR_836027,ff982fe947038795,a5965c85919addb3,,380063,3.2,COD,4324.92,Low (Groceries),172.5,0,4,,0,0
pay_443674201370,USR_574553,bd242dddb3b07738,90c61eb5989c7648,,777387,3.3,COD,3478.43,Medium (Electronics),258.1,0,4,,1,0
pay_336555186055,USR_831969,a316153f0e60ecda,0223bf1803e04291,f967852a016605a7,342542,3.0,UPI,4065.02,Low (Groceries),180.8,0,3,,0,0
pay_738482870181,USR_48739,483e4af40a9025b2,dc17e7ab388ad4e9,,423822,3.9,COD,4439.51,Medium (Electronics),254.5,0,5,,0,0
pay_571237914339,USR_970535,9e7edd20876635ca,b1bc45ce548b2f7b,,561595,4.8,CARD,1452.29,High (Apparel),165.3,0,9,,0,0
pay_202918174089,USR_48829,6611bdfde05385ce,6a9a698fdca47f43,59a46bf3486311de,966678,2.5,UPI,3794.76,Medium (Electronics),191.8,0,4,,0,0
pay_140520066498,USR_785401,27a62b7e0d8905d2,1308eb91fa857f54,26d312d3e35d85d8,238813,4.7,UPI,1234.44,Medium (Electronics),70.0,1,4,,0,0
pay_868242135891,USR_392592,2392c2205037b854,bf23e8e0f966f74b,,963863,3.5,COD,4849.47,High (Apparel),139.8,0,4,,0,0
pay_273152881068,USR_668589,b3da67009037e339,3adcf39c5862fa21,ae72251451846ebd,216908,4.6,UPI,622.97,Medium (Electronics),62.1,1,3,,0,0
pay_653397880348,USR_395019,0fa0bb97790947fd,f9cd3765cc4e4972,8a4aeb2719c6a383,537947,3.4,UPI,2515.31,Medium (Electronics),239.5,0,2,,1,0
pay_276342889266,USR_442703,9016856a51bfc235,974d93d1ea1ae0ea,83fc6cc91441dcf9,751399,1.7,COD,4576.39,High (Apparel),19.6,1,1,RING_014,1,1
pay_826270150469,USR_405674,4e51167e9baf2174,244d4e10ec9507e3,,784326,4.5,CARD,1177.66,Low (Groceries),87.7,0,1,,1,0
pay_456133713676,USR_917193,a450019a3e2f028f,d16e376b4a67410a,,260505,3.0,COD,1560.06,High (Apparel),288.3,0,2,,0,0
pay_470929129671,USR_929160,2f7210f78efda708,bcfc33c39bea1b11,,257378,4.1,COD,4728.05,Medium (Electronics),249.6,0,3,,0,0
pay_43568078565,USR_482273,4d6a314424b7bfda,847efd38fe6f648f,,536667,2.8,COD,1810.53,Medium (Electronics),52.9,0,2,,0,0
pay_178248317207,USR_374831,71f900fdfe23dba7,0febc38cf5db74c0,,227432,4.6,CARD,4279.87,High (Apparel),20.1,1,27,,0,0
pay_799603440592,USR_599893,ebaa85f61c0b54ed,d07f75d099113afc,91e23ed8fff5f936,614104,3.7,UPI,2874.78,Medium (Electronics),204.3,0,2,,0,0
